名前,平均順位,局収支,安定段位,安定レート,和了率,和了素点,和了巡目,放銃率,放銃素点,放銃巡目,立直率,立直巡目,立直成功率,副露率,副露巡目,流局聴牌率
はげしくウツ,2.518,-4.185,6.796,2122.177,0.209,5775.852,10.7,0.124,4938.997,10.806,0.177,8.929,0.482,0.335,5.665,0.405
新世界の紙,2.461,28.036,7.856,2183.4,0.216,5450.8,10.633,0.119,4904.524,10.661,0.176,8.762,0.476,0.385,5.531,0.469
ヤコブコーエン,2.48,9.068,7.355,2165.614,0.208,5719.941,10.815,0.123,4936.719,10.792,0.147,9.027,0.497,0.308,6.037,0.431
鴨葱太郎,2.454,61.198,7.927,2207.048,0.211,5881.136,10.931,0.12,4975.334,10.891,0.155,9.103,0.506,0.295,6.493,0.444
メイアクト,2.518,7.024,6.588,2111.538,0.195,6171.245,11.057,0.122,4832.25,10.791,0.164,9.212,0.488,0.252,6.944,0.393
いたヒロ,2.503,8.079,6.908,2130.82,0.208,5859.879,11.041,0.13,4894.965,10.639,0.164,9.279,0.498,0.235,6.304,0.405
麻生雀子,2.507,-1.205,6.774,2119.886,0.218,5444.998,10.69,0.136,4909.374,10.738,0.155,8.967,0.481,0.383,5.902,0.486
アスタナ,2.487,39.496,6.989,2146.484,0.218,5767.589,10.593,0.133,4928.608,10.826,0.196,8.912,0.469,0.327,5.263,0.454
カボチャタネ,2.5,12.744,6.571,2134.371,0.219,5717.766,10.807,0.14,5040.138,10.819,0.183,8.858,0.474,0.381,5.821,0.51
＠桜井＠,2.446,74.356,8.237,2217.58,0.216,5838.909,10.666,0.118,4994.219,10.679,0.184,8.777,0.487,0.346,5.696,0.432
pi-po,2.475,18.92,7.694,2165.865,0.217,5322.241,10.501,0.12,4779.905,10.713,0.171,8.714,0.473,0.394,5.453,0.451
Eumenes,2.46,44.015,8.178,2195.136,0.202,6039.166,10.747,0.113,4945.888,10.737,0.181,8.892,0.481,0.318,5.975,0.398
まあぼう大佐,2.504,9.025,7.163,2130.262,0.211,5505.8,10.543,0.122,4725.856,10.722,0.154,8.678,0.49,0.396,5.326,0.417
het,2.491,20.356,7.097,2150.168,0.212,5663.177,10.669,0.129,4835.808,10.778,0.179,8.762,0.477,0.349,5.432,0.445
ヨコヅナ,2.555,-57.841,6.109,2077.196,0.209,5661.15,10.881,0.133,5037.207,10.981,0.153,9.125,0.49,0.341,5.918,0.449
JWILL,2.488,81.184,6.452,2157.292,0.216,6551.406,11.131,0.154,5104.009,10.94,0.245,9.157,0.468,0.262,5.572,0.545
カブト,2.482,23.408,7.551,2146.642,0.21,5503.488,10.58,0.115,4739.345,10.539,0.165,8.913,0.491,0.324,5.669,0.391
じみいっZ,2.476,9.397,8.106,2169.76,0.201,5526.953,10.686,0.101,4878.799,10.672,0.126,8.384,0.522,0.298,6.148,0.375
miriri,2.463,42.482,8.024,2188.188,0.212,5753.7,10.678,0.121,4908.015,10.706,0.179,8.765,0.491,0.348,6.041,0.449
ヨコヨコ,2.5,-4.357,6.753,2131.96,0.217,5842.01,10.881,0.141,5027.904,10.813,0.215,9.024,0.47,0.301,5.459,0.469
Steins,2.493,-0.394,6.934,2151.167,0.223,5486.365,10.757,0.133,5103.951,10.822,0.178,8.886,0.474,0.341,5.724,0.5
麻雀で食え!,2.446,68.47,7.894,2217.46,0.235,5443.585,10.749,0.138,5132.017,10.831,0.155,8.76,0.496,0.395,5.964,0.561
critter,2.491,-16.683,7.008,2149.724,0.22,5398.402,10.559,0.131,4876.559,10.687,0.179,8.673,0.474,0.371,5.559,0.453
ちくき,2.447,95.749,8.344,2190.816,0.222,5281.137,10.529,0.113,4716.478,10.526,0.156,8.523,0.507,0.373,5.644,0.403
