名前,平均順位,局収支,安定段位,安定レート,和了率,和了素点,和了巡目,放銃率,放銃素点,放銃巡目,立直率,立直巡目,立直成功率,副露率,副露巡目,流局聴牌率
＼(＾o＾)／★,2.454,54.331,8.024,2197.266,0.212,5697.241,10.735,0.115,4863.759,10.755,0.163,8.684,0.5,0.318,6.045,0.412
おじさん,2.463,36.758,7.739,2184.048,0.223,5444.433,10.518,0.127,4964.485,10.616,0.176,8.702,0.481,0.397,5.42,0.463
cobehope,2.494,3.691,7.023,2154.033,0.214,5744.359,10.882,0.135,4989.642,10.843,0.16,9.235,0.47,0.365,6.238,0.486
zoo1964,2.454,54.857,7.928,2201.946,0.211,5861.369,10.73,0.121,4963.038,10.781,0.178,8.874,0.484,0.335,6.045,0.436
遊走,2.452,32.828,7.787,2195.775,0.228,5463.183,10.765,0.139,4982.202,10.709,0.194,8.966,0.481,0.379,5.771,0.55
tori0612,2.472,36.686,7.663,2175.019,0.226,5103.936,10.482,0.118,4969.059,10.647,0.119,8.488,0.524,0.459,5.536,0.48
④センチ,2.434,96.341,8.482,2227.544,0.219,5784.403,10.751,0.122,4891.811,10.677,0.187,8.901,0.487,0.33,5.822,0.435
ヤキン,2.469,33.638,7.822,2167.899,0.214,5428.229,10.588,0.117,4841.184,10.707,0.15,8.599,0.503,0.39,6.092,0.44
比嘉秀仁,2.493,27.766,6.896,2142.071,0.217,5780.464,10.787,0.136,5010.999,10.81,0.195,8.945,0.476,0.348,5.605,0.479
K。,2.479,2.928,7.446,2152.797,0.212,5470.227,10.675,0.121,4818.553,10.694,0.169,8.654,0.486,0.344,6.182,0.435
sandiris,2.438,99.934,8.295,2225.001,0.221,5757.022,10.766,0.125,4932.172,10.807,0.176,8.777,0.494,0.361,5.869,0.468
びりびり☆ビリー,2.457,39.891,8.225,2187.099,0.22,5374.627,10.552,0.12,4920.655,10.771,0.164,8.543,0.506,0.379,5.655,0.444
hayato☆,2.48,26.105,7.358,2164.353,0.209,5698.586,10.67,0.121,4857.367,10.681,0.156,8.938,0.484,0.318,5.779,0.409
CLS,2.441,43.025,8.524,2222.128,0.198,6084.166,10.816,0.112,4864.277,10.809,0.162,8.842,0.494,0.292,6.261,0.391
ニャッピー夏目,2.461,47.213,8.042,2191.33,0.222,5357.624,10.602,0.121,4805.615,10.519,0.153,8.725,0.502,0.373,5.58,0.418
zeRo,2.417,105.955,8.863,2252.034,0.217,5812.47,10.735,0.117,4977.986,10.764,0.184,8.763,0.488,0.339,5.725,0.449
durrrrr,2.485,10.59,7.166,2164.453,0.227,5341.444,10.603,0.128,5088.358,10.669,0.168,8.829,0.488,0.378,6.054,0.481
zkurt,2.448,68.585,8.035,2199.411,0.215,5670.473,10.746,0.122,4773.501,10.804,0.162,8.726,0.499,0.284,6.117,0.416
とびまこ,2.474,19.478,7.401,2182.57,0.22,5697.515,10.776,0.134,5077.803,10.666,0.171,8.952,0.48,0.382,5.59,0.49
デジタル仙人,2.453,60.011,8.312,2181.127,0.21,5693.287,10.689,0.116,4791.51,10.637,0.156,8.968,0.498,0.308,5.739,0.401
奈落の王,2.482,19.626,7.552,2155.821,0.204,5543.238,10.523,0.106,4825.248,10.616,0.154,8.59,0.498,0.321,5.722,0.366
はぐりん＠,2.469,34.764,7.839,2189.539,0.198,6188.854,11.14,0.115,5011.989,10.986,0.197,9.156,0.473,0.166,7.004,0.417
信濃の荒法師,2.475,5.705,7.965,2172.621,0.206,5454.733,10.528,0.108,4840.291,10.748,0.16,8.656,0.497,0.358,5.968,0.419
フリテン,2.443,47.263,8.471,2204.187,0.21,5545.65,10.627,0.11,4836.965,10.7,0.169,8.878,0.485,0.345,5.788,0.413
立華奏,2.485,48.069,6.845,2148.879,0.218,5794.878,10.88,0.14,4859.644,10.844,0.184,8.873,0.473,0.282,5.621,0.479
谷口こうへい,2.444,77.612,8.126,2219.563,0.219,5817.045,10.823,0.126,4958.608,10.743,0.174,8.936,0.488,0.34,5.781,0.456
たかってぃー,2.471,25.204,7.592,2181.687,0.229,5333.394,10.587,0.124,5066.856,10.743,0.186,8.857,0.479,0.341,5.645,0.464
エッフェル塔,2.507,-10.871,6.72,2130.447,0.203,5879.861,10.744,0.119,4982.587,10.77,0.172,8.788,0.488,0.274,5.985,0.389
文四郎,2.506,9.761,6.846,2132.864,0.22,5418.519,10.518,0.118,4959.695,10.601,0.189,8.756,0.481,0.306,5.007,0.387
tatsu702,2.45,63.769,7.459,2198.51,0.226,5772.74,10.837,0.146,4956.474,10.628,0.195,9.208,0.472,0.389,5.615,0.54
シンプルなワキガ,2.437,56.58,8.423,2225.35,0.213,5763.956,10.736,0.118,4945.908,10.684,0.187,8.808,0.475,0.348,5.629,0.423
侍,2.441,84.248,7.866,2223.769,0.222,5806.875,10.883,0.126,5101.571,10.827,0.187,8.952,0.489,0.326,6.158,0.486
かしかお,2.478,39.753,7.271,2166.125,0.229,5552.249,10.683,0.142,5016.176,10.756,0.182,9.065,0.478,0.36,5.506,0.503
トシフーニ,2.472,55.408,7.285,2176.958,0.219,5800.83,10.777,0.135,4983.616,10.794,0.185,8.876,0.477,0.359,5.668,0.502
中村豪＠,2.484,6.97,7.387,2168.555,0.211,5744.664,10.728,0.124,5036.699,10.755,0.182,8.971,0.485,0.34,5.648,0.459
あひるさん,2.532,-10.861,6.625,2086.107,0.187,6123.307,10.816,0.111,4740.53,11.001,0.176,9.17,0.45,0.277,5.724,0.386
けん1970,2.498,34.426,6.809,2129.128,0.205,5877.202,10.886,0.129,4729.779,10.831,0.152,8.871,0.481,0.298,6.24,0.427
ウルトラ立直,2.448,47.888,8.252,2201.464,0.205,5709.884,10.642,0.112,4803.496,10.698,0.155,8.738,0.497,0.347,5.782,0.407
shoot39,2.431,101.118,8.605,2218.199,0.22,5622.087,10.702,0.12,4799.514,10.612,0.163,8.784,0.488,0.331,5.689,0.431
かづきＸＩ,2.506,-5.368,7.166,2139.614,0.211,5609.78,10.583,0.12,4999.629,10.886,0.144,8.854,0.478,0.356,5.726,0.431
かっ飛ばせ全部,2.486,27.285,7.647,2163.894,0.211,5655.569,10.613,0.112,4957.74,10.726,0.188,8.732,0.486,0.325,5.523,0.401
zeroRX,2.476,34.427,7.585,2151.194,0.221,5260.18,10.528,0.124,4868.61,10.628,0.164,8.657,0.491,0.385,5.349,0.441
kiyodai,2.435,79.054,8.464,2221.921,0.217,5548.879,10.701,0.12,4780.693,10.709,0.155,8.911,0.509,0.331,5.72,0.442
松屋おじさん,2.453,45.361,8.27,2199.136,0.213,5467.987,10.603,0.112,4843.982,10.644,0.161,8.667,0.499,0.369,5.923,0.406
CRAZYBEE,2.466,36.404,8.249,2177.361,0.211,5308.173,10.374,0.103,4777.058,10.63,0.137,8.522,0.508,0.381,5.612,0.371
gousi,2.451,64.52,8.438,2201.314,0.208,5746.473,10.748,0.112,4849.659,10.633,0.163,8.817,0.495,0.306,6.275,0.401
木原豪一,2.475,40.519,7.479,2176.707,0.212,5863.47,10.804,0.121,5057.191,10.824,0.197,8.961,0.479,0.32,5.917,0.435
銀色いがぐり,2.443,71.324,8.206,2222.42,0.226,5587.964,10.779,0.128,5022.828,10.625,0.153,8.768,0.509,0.378,6.094,0.482
じぇる,2.481,14.885,7.316,2170.278,0.211,5800.321,10.666,0.121,5020.567,10.768,0.196,8.981,0.478,0.332,5.191,0.414
ロッテ雀球,2.464,23.217,7.929,2178.375,0.216,5379.336,10.564,0.119,4744.867,10.732,0.179,8.734,0.481,0.351,5.392,0.423
take-you,2.472,38.239,7.656,2177.708,0.215,5669.376,10.571,0.115,5015.846,10.79,0.184,8.796,0.479,0.352,5.068,0.422
sinsist,2.455,52.831,8.389,2200.129,0.215,5508.821,10.521,0.117,4811.326,10.613,0.153,8.718,0.496,0.41,5.612,0.433
clutch73,2.471,55.289,7.498,2184.098,0.218,5882.946,10.918,0.133,5063.549,10.837,0.181,9.009,0.483,0.305,6.117,0.488
ハタモトヒロ,2.494,15.698,7.144,2156.704,0.212,5742.849,10.67,0.123,5021.86,10.802,0.16,9.064,0.49,0.368,5.818,0.448
macjr,2.447,75.727,8.119,2185.757,0.215,5549.541,10.635,0.114,4886.075,10.683,0.175,8.738,0.488,0.346,5.915,0.436
たがやす,2.482,35.3,7.306,2163.085,0.204,6073.18,10.907,0.125,4957.717,10.919,0.174,9.22,0.47,0.315,5.989,0.451
00sai,2.461,39.575,8.314,2186.002,0.213,5471.779,10.619,0.113,4841.497,10.735,0.163,8.698,0.49,0.381,5.657,0.429
ハス太,2.498,-12.224,7.045,2148.494,0.199,6235.498,10.893,0.126,4957.144,10.855,0.205,9.033,0.473,0.282,5.855,0.408
【罪歌】,2.412,123.546,8.533,2252.674,0.22,5901.628,10.87,0.126,4939.302,10.818,0.188,9.045,0.491,0.333,5.874,0.463
ネームレス７,2.495,10.151,7.1,2138.229,0.219,5557.439,10.733,0.133,4945.988,10.8,0.181,8.867,0.478,0.363,5.682,0.476
ちょりお,2.498,10.565,6.952,2145.701,0.221,5582.994,10.807,0.137,5013.682,10.738,0.148,8.889,0.498,0.357,6.087,0.49
tnfsh204,2.466,60.808,7.808,2183.608,0.214,5668.261,10.665,0.118,4872.514,10.729,0.166,8.596,0.49,0.348,5.756,0.418
ノオチャベス,2.502,30.014,6.567,2149.793,0.224,5839.579,10.94,0.143,5102.221,10.922,0.186,9.009,0.487,0.301,6.108,0.509
ヒルベルト,2.477,30.265,7.27,2170.469,0.219,5693.041,10.78,0.14,4886.287,10.814,0.163,9.052,0.494,0.382,5.955,0.518
愛内里菜,2.452,43.099,8.537,2203.993,0.202,5632.853,10.627,0.102,4741.487,10.717,0.149,8.676,0.499,0.333,5.798,0.367
ブルブルハーツ,2.469,31.811,7.805,2173.7,0.204,5597.765,10.616,0.11,4714.497,10.561,0.135,8.728,0.5,0.353,5.912,0.41
爆弾五郎２,2.487,15.726,7.424,2156.83,0.208,5709.262,10.77,0.121,4886.275,10.731,0.148,9.228,0.489,0.326,5.991,0.435
やまーん,2.462,48.039,7.858,2187.309,0.211,5783.323,10.806,0.125,4894.066,10.816,0.186,8.913,0.484,0.313,5.895,0.45
民芸,2.443,72.809,8.255,2199.072,0.215,5627.604,10.589,0.112,4984.828,10.65,0.186,8.551,0.491,0.347,5.535,0.411
砲の上のあの娘,2.491,-20.474,7.152,2151.296,0.22,5485.527,10.639,0.135,4980.823,10.68,0.188,8.728,0.477,0.377,5.445,0.467
水哉のレジェンド,2.469,47.994,7.643,2177.274,0.216,5729.438,10.729,0.125,4890.792,10.717,0.18,8.825,0.493,0.33,5.797,0.435
ピカ吾郎,2.501,8.822,7.173,2135.993,0.218,5260.931,10.629,0.116,4968.438,10.765,0.144,8.56,0.513,0.392,5.963,0.454
プロテイン得盛,2.458,62.575,7.646,2191.171,0.229,5465.572,10.707,0.136,4878.668,10.648,0.182,8.805,0.489,0.39,5.481,0.51
OMANTA,2.433,84.74,8.737,2234.719,0.218,5557.046,10.677,0.115,4919.223,10.695,0.17,8.684,0.491,0.347,6.132,0.466
カラスの子,2.519,-22.562,6.655,2113.462,0.215,5507.541,10.666,0.133,4919.467,10.638,0.163,8.752,0.481,0.356,5.278,0.466
jump-up,2.51,-17.358,6.66,2114.551,0.214,5449.907,10.793,0.132,4935.861,10.759,0.141,8.778,0.499,0.367,5.885,0.49
yachi358,2.476,4.132,7.615,2174.941,0.21,5612.867,10.592,0.123,4936.038,10.67,0.156,8.795,0.487,0.449,5.546,0.444
かめじろう,2.494,40.831,7.033,2149,0.215,5794.407,10.772,0.127,4936.296,10.616,0.171,8.984,0.493,0.375,6.247,0.436
メカゼットン,2.459,43.303,7.837,2189.37,0.219,5535.264,10.59,0.12,4877.562,10.614,0.189,8.813,0.482,0.355,5.29,0.42
らくだ０１０９,2.455,23.381,7.749,2189.429,0.225,5370.745,10.696,0.131,4928.611,10.65,0.151,8.844,0.502,0.338,5.639,0.445
みーごま,2.469,28.795,7.773,2188.388,0.214,5769.541,10.756,0.12,5024.754,10.84,0.195,8.839,0.489,0.318,5.688,0.403
ツレオ,2.479,38.187,7.33,2166.428,0.206,6154.129,10.954,0.131,4945.294,10.979,0.199,9.022,0.481,0.281,6.285,0.467
〓いちはら〓,2.425,138.345,8.633,2222.289,0.212,6015.755,11.006,0.128,4792.743,10.794,0.171,9.291,0.489,0.295,6.26,0.455
私はがちほも,2.476,34.572,7.593,2170.799,0.211,5648.38,10.625,0.119,4840.67,10.658,0.154,8.724,0.487,0.341,5.864,0.428
長岡,2.498,-20.412,7.182,2147.927,0.21,5600.128,10.57,0.115,5061.914,10.722,0.178,8.706,0.484,0.399,5.566,0.411
太くないお,2.413,115.192,8.934,2242.661,0.223,5578.809,10.494,0.115,4876.335,10.574,0.184,8.77,0.486,0.37,5.352,0.424
ひぐち,2.499,4.007,7.021,2142.437,0.209,5854.004,10.833,0.129,4857.908,10.728,0.178,9.019,0.477,0.305,5.888,0.444
ぜろめぐ,2.51,-22.665,7.094,2120.35,0.196,5646.609,10.546,0.106,4722.449,10.764,0.164,8.613,0.486,0.303,5.796,0.365
よしぎ,2.45,52.181,7.742,2205.869,0.219,5729.764,10.719,0.13,4905.947,10.709,0.191,8.868,0.47,0.359,5.748,0.477
mono-14,2.51,-15.28,6.924,2128.917,0.204,5585.404,10.648,0.115,4974.878,10.645,0.117,9.043,0.488,0.384,5.993,0.408
クロノス@,2.444,64.095,8.007,2203.453,0.215,5648.859,10.742,0.129,4795.942,10.658,0.16,8.926,0.489,0.418,6.043,0.49
一蓮峻潤,2.411,87.353,9.13,2260.075,0.21,5879.861,10.758,0.114,4839.206,10.765,0.172,8.867,0.489,0.306,5.892,0.41
うさぎファンシー,2.469,63.679,7.553,2188.063,0.217,5861.45,10.68,0.121,5039.213,10.725,0.187,8.828,0.489,0.343,5.664,0.436
豚の王,2.462,23.255,7.82,2196.067,0.222,5684.456,10.609,0.131,5011.761,10.748,0.195,9.019,0.47,0.382,5.034,0.462
小手返撲滅会長,2.496,-7.021,7.08,2147.734,0.212,5639.864,10.688,0.124,4928.764,10.703,0.161,8.544,0.492,0.351,5.909,0.436
碧乃,2.467,59.667,7.379,2190.734,0.212,6199.495,11.001,0.137,5061.293,10.85,0.192,9.144,0.476,0.332,6.111,0.489
donchan3,2.493,1.273,7.306,2145.417,0.202,5817.43,10.642,0.122,4763.139,10.646,0.171,8.89,0.482,0.312,5.754,0.397
yyooss,2.513,-6.24,6.621,2131.541,0.203,6176.499,10.984,0.13,4975.693,10.937,0.202,9.083,0.476,0.264,5.867,0.425
うけながすぜ,2.491,9.892,7.195,2153.392,0.202,5938.126,10.757,0.119,4947.215,10.774,0.18,9.037,0.485,0.319,6.174,0.402
ごりごりごりら,2.494,29.214,6.951,2145.416,0.216,5797.974,10.794,0.138,4875.165,10.732,0.186,8.951,0.483,0.362,5.425,0.474
ラムダさん,2.476,21.882,7.309,2158.719,0.205,5851.586,10.762,0.123,4830.948,10.834,0.19,8.919,0.479,0.302,5.601,0.428
河嶋KK,2.461,51.101,8.133,2195.208,0.209,5914.559,11.026,0.12,4963.824,10.911,0.181,8.889,0.503,0.302,6.563,0.447
おかもと,2.436,41.391,8.818,2215.684,0.207,5632.339,10.591,0.11,4828.683,10.58,0.163,8.805,0.5,0.355,5.41,0.398
ふじかつ,2.488,23.397,7.032,2164.863,0.207,6149.365,10.961,0.14,5037.24,10.975,0.174,9.177,0.476,0.357,6.275,0.515
tacos,2.478,31.717,7.884,2158.053,0.216,5416.663,10.524,0.115,4831.304,10.589,0.175,8.649,0.494,0.364,5.456,0.407
はいてんぼー,2.46,81.979,7.492,2197.184,0.222,5861.144,10.898,0.135,5033.415,10.984,0.181,9.187,0.48,0.285,6.309,0.5
リサさま,2.513,-32.045,7.184,2120.771,0.198,5573.277,10.468,0.108,4825.928,10.663,0.152,8.83,0.503,0.36,6,0.387
